"tipo_bien","numero_oficio","juzgado","tipo_delito","medida","fecha_recepcion","fecha_medida","localizacion","provincia","estupefaciente_sustancia","estupefaciente_cantidad","arma_tipo","arma_numero_serie","arma_marca","arma_modelo","arma_calibre","automotor_tipo","automotor_dominio","automotor_marca","automotor_modelo","automotor_color","automotor_anio","aeronave_numero_serie","aeronave_matricula","aeronave_marca","aeronave_modelo","buque_pais","buque_nombre","buque_matricula","dinero_moneda_descripcion","dinero_cantidad","titulo_tipo","titulo_nombre_emisor","titulo_cantidad","titulo_fecha_vencimiento","titulo_categoria","titulo_bolsa_cotiza","titulo_moneda","otro_clasificacion","otro_detalle","provincia_id"
"aeronave",,"Juzgado Criminal y Correccional Federal Nro. 7","Encubrimiento y lavado de activos de origen delictivo (arts.277 a 279)","Secuestro","2017-10-05","2016-04-18","Ministerio de Seguridad de la Nación",,,,,,,,,,,,,,,"418","LV-BPL","Learjet","35A",,,,,,,,,,,,,,,""
"aeronave",,"Juzgado Criminal y Correccional Federal Nro. 7","Encubrimiento y lavado de activos de origen delictivo (arts.277 a 279)","Secuestro","2017-10-05","2016-04-18","Junta de Investigación de Accidentes de Aviación Civil",,,,,,,,,,,,,,,"11412","LV-MBY","Rockwell Commander","690-B",,,,,,,,,,,,,,,""
"aeronave",,"Juzgado Criminal y Correccional Federal Nro. 7","Encubrimiento y lavado de activos de origen delictivo (arts.277 a 279)","Secuestro","2018-08-13","2016-04-18","Ministerio de Seguridad de la Nación",,,,,,,,,,,,,,,"418","LV-BPL","Learjet","35A",,,,,,,,,,,,,,,""
"aeronave",,"Juzgado Criminal y Correccional Federal Nro. 7","Encubrimiento y lavado de activos de origen delictivo (arts.277 a 279)","Secuestro","2018-08-13","2016-04-18","Junta de Investigación de Accidentes de Aviación Civil",,,,,,,,,,,,,,,"11412","LV-MBY","Rockwell Commander","690-B",,,,,,,,,,,,,,,""
"aeronave",,"Juzgado Federal de Paraná N° 1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2017-06-15",,"II BRIGADA AÉREA PARANÁ, DE LA FUERZA FEDERAL ARGENTINA","Entre Ríos",,,,,,,,,,,,,,,"ZPX059","CESSNA","210A",,,,,,,,,,,,,,,"30"
"aeronave",,"Tribunal Oral en lo Criminal Federal de Córdoba Nro. 1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Decomiso","2019-03-18",,,,,,,,,,,,,,,,,,"ZP-BAP","CESSNA","182F",,,,,,,,,,,,,,,""
"arma",,"Cámara de Casación Penal - Sala 1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Decomiso","2017-10-09","2017-06-02",,,,,"Pistola","90397","Browning",,"7,65 mm",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Cámara de Casación Penal - Sala 3","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Decomiso","2017-04-26",,,,,,"Pistola","777209","BERSA",,"9MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Cámara de Casación Penal - Sala 3","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Decomiso","2017-04-26",,,,,,"Pistola","TKL 24684 AFD","TAURUS","PT92","9MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Cámara Nacional de Casación en lo criminal y correccional - Sala I","Lesiones (art 89 a 94)","Decomiso","2018-10-30","2018-10-24",,,,,"Pistola","5935","LUGER","P08 1918","9x19  MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Cámara Nacional de Casación en lo criminal y correccional - Sala I","Lesiones (art 89 a 94)","Decomiso","2018-10-30","2018-10-24",,,,,"Pistola","F35331","PIETRO BERETTA",,".22 PLG LR",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Carabina","A7388",,"LARGA 63","22 LARGO",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Escopeta","058426-10","BOITO",,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Fusil","2-300 00400","INGRAM",,"9 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Pistola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Pistola",,"BERSA MINI FIRE STORM",,"45",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Pistola",,"BERSA THUNDER",,"9 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Pistola",,"BERSA THUNDER","9","9 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Pistola",,"BERSA THUNDER 9",,"9 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Pistola","418335","BERSA THUNDER","380 SUPER","380",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Pistola","446737","GLOCK",,"9 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Pistola","49960","COLT",,"11.25 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Revolver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Revolver",,,,"32 SWL",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Revolver",,"COLT","DETECTIVE SPECIAL PTFANGAMFCO","38",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Revolver","03272C","DOBERMAN",,"22 LARGO",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Revolver","07437",,,"22 LARGO",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Correccional Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-29",,,,,,"Revolver","ED00125","CUSTER","SPECIAL","38",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Robo (arts. 164 a 167)","Secuestro","2013-04-05",,"DIVISION BALISTICA DE LA P. F. A.",,,,"Pistola","626_1","BROWNING",,"7.65 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Robo (arts. 164 a 167)","Secuestro","2013-04-05",,"RENAR",,,,"Pistola","626_1","BROWNING",,"7.65 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Robo (arts. 164 a 167)","Secuestro","2013-10-16",,"DIVISION BALISTICA DE LA P. F. A.",,,,"Pistola","626_1","BROWNING",,"7.65 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Robo (arts. 164 a 167)","Secuestro","2013-10-16",,"RENAR",,,,"Pistola","626_1","BROWNING",,"7.65 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Robo (arts. 164 a 167)","Secuestro","2013-03-06",,"DEPOSITADO EN LA SECCIONAL 38 DE LA P.F.A.",,,,"Revolver","SIN NUMERACION","JAGUAR","LARGO","32",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-10-04",,"SECCIONAL 43° DE LA POLICIA FEDERAL ARGENTINA",,,,"Revolver","BFK 5413","SMITH&WESON",,"32 LARGO",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Robo (arts. 164 a 167)","Secuestro","2012-10-22",,"CAJA FUERTE DE LA SECRETARIA 146",,,,"Pistola","10267","STAR",,"7.65",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Asociación ilícita (art.210 y 210bis)","Secuestro","2012-08-27",,"DIVISION  LABORATORIO QUIMICO DE LA PFA",,,,"Pistola",,"SMTH Y WESSON","5906",,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Asociación ilícita (art.210 y 210bis)","Secuestro","2012-11-15",,"DIVISION  LABORATORIO QUIMICO DE LA PFA",,,,"Pistola",,"SMTH Y WESSON","5906",,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Asociación ilícita (art.210 y 210bis)","Secuestro","2014-03-13",,"DIVISION  LABORATORIO QUIMICO DE LA PFA",,,,"Pistola",,"SMTH Y WESSON","5906",,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 15","Robo (arts. 164 a 167)","Secuestro","2013-06-19",,"REGISTRO NACIONAL DE ARMAS",,,,"Pistola","412713","BERSA","THUNDER 22","22 LARGO RIFLE",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 36","Homicidio (art 79)","Secuestro","2013-07-12",,,,,,"Pistola","10199","BERSA THUNDER 9",,"9 MM.",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 36","Homicidio (art 79)","Secuestro","2013-07-12",,,,,,"Pistola","PX89686","BERETTA",,"9 MM.",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 36","Robo (arts. 164 a 167)","Secuestro","2013-07-12",,,,,,"Pistola",,"COLT",,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 49","Homicidio (art 79)","Secuestro","2012-08-06",,,,,,"Pistola",,"BERSA",,"22 largo",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 49","Robo (arts. 164 a 167)","Secuestro","2012-08-06",,,,,,"Escopeta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 49","Robo (arts. 164 a 167)","Secuestro","2012-08-06",,,,,,"Pistola","256197","BROWNING",,"9 mm",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 49","Robo (arts. 164 a 167)","Secuestro","2012-08-06",,,,,,"Pistola","N5K45654","TAURUS",,"45",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 49","Robo (arts. 164 a 167)","Secuestro","2012-08-06",,,,,,"Revolver",,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 49","Robo (arts. 164 a 167)","Secuestro","2012-08-06",,,,,,"Revolver",,"JAGUAR",,"32",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 49","Atentado y resistencia contra la autoridad (arts.237 a 243)","Secuestro","2012-08-06",,,,,,"Pistola","FS N°774952","PIETRO BERETA","92","9 mm",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal de Instrucción Nro. 49","Atentado y resistencia contra la autoridad (arts.237 a 243)","Secuestro","2012-08-06",,,,,,"Revolver",,"TANQUE","1963","32",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-09-16",,"REGISTRO NACIONAL DE ARMAS DE FUEGO",,,,"Pistola","6212","BERSA","64","22 LARGO",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-09-16",,"REGISTRO NACIONAL DE ARMAS DE FUEGO",,,,"Pistola","931861","FN BROWNING","TRIPLE SURETE","25",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-09-16",,"REGISTRO NACIONAL DE ARMAS DE FUEGO",,,,"Revolver","160437","HARRINGTON Y RICHARDSON",,"32 CORTO",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-09-16",,"REGISTRO NACIONAL DE ARMAS DE FUEGO",,,,"Revolver","1688",,,"38 CORTO",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-09-16",,"REGISTRO NACIONAL DE ARMAS DE FUEGO",,,,"Revolver","LH92063","TAURUS",,"38 SPECIAL",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-11-01",,,,,,"Carabina","36206","SAURIO","PAT.119 919","22",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-11-01",,,,,,"Escopeta","616330","STOEGER","2000",,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-11-01",,,,,,"Pistola",,,"75","9 mm",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-11-01",,,,,,"Pistola","454170",,"95 CLASIC","9 mm",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-11-01",,,,,,"Pistola","B86224",,"BERSA THUNDER 9 ULTRA COMPACT PRO",,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-11-01",,,,,,"Pistola","SAB9616","SMITH Y WESSON","SW99","40",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-11-01",,,,,,"Revolver","180630",,"JAGUAR IND. ARGENTINA","0.38 SPECIAL",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 12","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-26",,,,,,"Pistola","179750","PIETRO BERETTA",,"6.35 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 3","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Decomiso","2018-04-27",,,,,,"Revolver",,"Jaguar",,"38",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 4","Falsificación de documentos en general (art.292 a 298bis)","Secuestro","2012-05-10",,"COORDINACION TECNICA Y LOGISTICA, DIVISION DEPOSITO METROPOLITANO DEL REGISTRO NACIONAL DE ARMAS",,,,"Revolver","IH199722","TAURUS",,"357",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 4","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-05-10",,"DEPOSITO DEL REGISTRO NACIONAL DE ARMAS",,,,"Revolver","ERRADICADO","BAGUAL","NO IDENTIFICADO","22 LARGA",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 4","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-05-10",,"SE ENCONTRABA EN LA COMISARIA 38 DE LA POLICIA FEDERAL ARGENTINA, EL DIA 13 DE ABRIL SE SUSTRAJO DE ALLI.",,,,"Pistola","ERRADICADO","BROWNING",,"9 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Pistola","1103201","BALLESTER MOLINA",,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Revolver","28157","SMITH & WESSON","PLG SPECIAL","38",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Revolver","290726","COLT","PLG SPECIAL","38",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Revolver","428769","SMITH & WESSON","PLG SPECIAL","38",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-26",,,,,,"Pistola","713594","BERSA","THUNDER-9","9 X 19 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-06-26",,,,,,"Pistola","Y1022","ASTRA","A-75","9X19 MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Escopeta","100417",,,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Escopeta","1384067",,"111451",,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Escopeta","1747","SHARLE",,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Fusil","H5571","MAUSER","ARGENTINO 1909",,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Pistola","01973",,,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Pistola","6065",,,"22",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Revolver",,"SMIWT AND WEASON",,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 6","Incendios y otros estragos (art. 186 a 189ter)","Secuestro","2012-06-26",,,,,,"Revolver","11698",,,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Criminal y Correccional Federal Nro. 7","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2012-03-26",,,,,,"Revolver","82912",,,"38",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado en lo Criminal y Correccional Federal de La Plata N°1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2015-12-17",,"DIRECCION DEPARTAMENTAL DE INVESTIGACIONES LA PLATA",,,,"Pistola","331873","BERSA THUNDER","32","7.65",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado en lo Criminal y Correccional Federal de La Plata N°1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2015-12-17",,"DIRECCION DEPARTAMENTAL DE INVESTIGACIONES LA PLATA",,,,"Pistola","WFV156","GLOCK",,"9MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Ametralladora","1191546","HALCON",,,,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Carabina","3404","ARIETE 62",,"22LR",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Escopeta","10235","SOLE",,"20 GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Escopeta","115546","MAGTECH","586.2","12 GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Escopeta","12825","BATAAN 71",,"16 GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Escopeta","157885","REXIO",,"12 GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Escopeta","97914","VICTOR SARASQUETA",,"16 GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Escopeta","MV44004R","MAVERICH",,"12 GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Escopeta","MV56054E","MAVERICK","88","12 GAUGE SEIE",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Pistola","24B092276","SIG SAUER","SP2022","40",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Pistola","484282","BERSA","THUNDER 40","40 S&W",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Pistola","7263","BERSA","62","22 LARGO RIFLE",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Pistola","81852","SISTEMA COLT","1927","11,25X23MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Pistola","A771231","CZ 75","P-07","9MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Juzgado Federal Criminal y Correccional de L. de Zamora Nro.2","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2013-07-10",,,,,,"Pistola","P94889Z","PIETRO BERETTA","92FS","9MM",,,,,,,,,,,,,,,,,,,,,,,,,""
