"tipo_bien","numero_oficio","juzgado","tipo_delito","medida","fecha_recepcion","fecha_medida","localizacion","provincia","estupefaciente_sustancia","estupefaciente_cantidad","arma_tipo","arma_numero_serie","arma_marca","arma_modelo","arma_calibre","automotor_tipo","automotor_dominio","automotor_marca","automotor_modelo","automotor_color","automotor_anio","aeronave_numero_serie","aeronave_matricula","aeronave_marca","aeronave_modelo","buque_pais","buque_nombre","buque_matricula","dinero_moneda_descripcion","dinero_cantidad","titulo_tipo","titulo_nombre_emisor","titulo_cantidad","titulo_fecha_vencimiento","titulo_categoria","titulo_bolsa_cotiza","titulo_moneda","otro_clasificacion","otro_detalle","provincia_id"
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FTL 356","Nissan ","PATHFINDER LE 2.5",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FTL 357","Nissan ","FRONTIER 4X2 XE",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FTL358","Nissan ","FRONTIER 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUF234","Volkswagen","SAVEIRO 1.9SD",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUF235","Chevrolet","S10 2.8 TDI STD 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUF236","Chevrolet","S10 2.8 TDI STD 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUF237","Chevrolet","S10 2.8TDI STD 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUF238","Chevrolet","S10 2.8TDI 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUF239","Chevrolet","S10 2.8TDI 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUQ 262","Nissan ","FRONTIER 4X2 XE 2.8",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUQ 264","Nissan ","FRONTIER 4X2 XE 2.8",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUW992","Chevrolet","s10 2.8 tdi 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUW993","Chevrolet","S10 2.8TDI 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUW994","Chevrolet","S10 2.8 TDI 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FUW995","Chevrolet","S10 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Camion/ Camioneta","FVJ956","Volkswagen","SAVEIRO 1.6",,,,,,,,,,,,,,,,,,,,,""
